,,100,TPS PURE BASE,,,,TPS LA,,,,TPS PURE Sorb,,,,TPS PURE GLY 1,,,,TPS PURE CA 1,,,,TPS PURE La 1,,,,TPS PURE PGly,,,,TPS PURE ESBO/CA,,,,TPS PURE ESBO/LA,,,,TPS PURE X,,,,TPS PURE X,,,,TPS PURE X,,,,TPS PURE X,,,,TPS PURE X,,,,
,CO2,cost,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,phr,weight,price,CO2,
Corn starch (Yabuka),"0,95","0,45",100,"81,97","36,89","77,8715",100,"81,97","36,89","77,8715",100,80,36,76,100,50,"22,5","47,5",100,50,"22,5","47,5",100,50,"22,5","47,5",100,"83,33","37,5","79,1635",100,"89,53","40,29","85,0535",100,"89,53","40,29","85,0535",100,100,45,95,100,100,45,95,100,100,45,95,100,100,45,95,100,100,45,95,
Potato starch (German),"1,15","0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Potato starch (CZ),"1,65","0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wheat starch,"0,75","0,45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cassava starch,"0,45","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rice starch,"1,4","0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea,"0,2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetic acid,"1,7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Glycerol,2,"1,5",20,"16,39","24,59","32,78",20,"16,39","24,59","32,78",20,16,24,32,100,50,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sorbitol,"1,21",10,0,0,0,0,0,0,0,0,5,4,40,"4,84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Citric acid,"18,83","2,56",2,"1,64","4,2","30,8812",0,0,0,0,0,0,0,0,0,0,0,0,100,50,128,"941,5",0,0,0,0,0,0,0,0,10,"8,95","22,92","168,5285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lactic acid,"2,74",10,0,0,0,0,2,"1,64","16,4","4,4936",0,0,0,0,0,0,0,0,0,0,0,0,100,50,500,137,0,0,0,0,0,0,0,0,10,"8,95","89,5","24,523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fructose,"1,73","4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tween-80 (Polysorbate),"5,5",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5","0,45","5,4","2,475","0,5","0,45","5,4","2,475",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oleamide,"3,8","4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ESBO / ELO,"2,5","2,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,2","1,07",3,"2,675","1,2","1,07",3,"2,675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ATBC / TBC,"3,2","3,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polyglycerol (MC4202),"2,6",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"16,67","100,02","43,342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Choline chloride,,"4,4",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium alginate,"21,27",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBS (PBI001),"5,19",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBS (PBE003),"5,19",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
PBAT,"1,3","4,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Soy protein concentrate,"2,5","2,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Zein (corn protein),"7,8",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Collagen,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
